"location_name","meal_type","item_name","dietary_traits","serving_size","calories","total_fat","saturated_fat","trans_fat","cholesterol","sodium","total_carbohydrate","dietary_fiber","total_sugars","protein","calcium","iron","potassium"
"Lowell Market","breakfast","Banana Bread (VN)","wheat, corn","1 each","190","7g","0.5g","0g","0mg","176mg","31g","1g","15g","2g","4mg","0.9mg","77mg"
"Lowell Market","breakfast","Lowell's Condiment","dairy, egg, soy","1 customer'","40","0.8g","0.1g","0g","1mg","189mg","8g","0g","7g","0g","2mg","0mg","5mg"
"Lowell Market","breakfast","Lowell's Beverage","dairy, soy, coconut","1 customer'","29","0.8g","0.4g","0g","3mg","25mg","4g","0g","4g","1g","47mg","0mg","43mg"
"Lowell Market","breakfast","Lowell's Breakfast","dairy, wheat, soy","1 customer'","116","1g","0.3g","0g","1mg","56mg","27g","3g","15g","2g","22mg","0.7mg","275mg"
"Lowell Market","breakfast","Waffle with Compote & Whip Cream","dairy, egg, wheat","1 11.6 oz","704","28g","16g","0g","77mg","1211mg","102g","1g","34g","7g","510mg","4.8mg","32mg"
"Lowell Market","breakfast","Creamy Wheat Berry Hot Cereal","wheat, corn","1 serving","642","9g","0.6g","0g","0mg","235mg","139g","23g","5g","20g","22mg","10.4mg","159mg"
"Lowell Market","breakfast","Scrambled Eggs","egg, corn","1 4 oz","253","19g","4.6g","0g","600mg","200mg","1g","0g","1g","19g","0mg","0mg","172mg"
"Lowell Market","breakfast","Redstone Potatoes - 3 oz","wheat, soy, corn","1 3 oz","163","10g","1.6g","0g","0mg","324mg","16g","2g","0g","2g","0mg","0mg","0mg"
"Lowell Market","breakfast","Pork Sausage Patty","corn","1 1","230","22g","8g","0g","45mg","370mg","1g","0g","0g","7g","0mg","0.4mg","0mg"
"Lowell Market","breakfast","Chicken Sausage Patty","corn","1 1","80","5g","1.5g","0g","40mg","300mg","1g","0g","0g","7g","0mg","0.4mg","0mg"
"Lowell Market","breakfast","Veggie Sausage Patty (VN)","wheat, soy, corn","1 1","100","5g","0g","0g","0mg","410mg","5g","2g","1g","9g","40mg","1.4mg","210mg"
"Lowell Market","breakfast","Avocado Toast","wheat, soy, corn","1 serving","284","18g","2.6g","0g","0mg","271mg","29g","7g","2g","6g","43mg","2.8mg","737mg"
